row_index,start_dialogue,diagnostic_accuracy,use_of_dialogue_information,logical_consistency,estimate_completeness,parts_and_works_adequacy,safety,clarity,actionability,uncertainty_handling,business_logic_alignment,contextual_relevancy,error
256,Как снять верхнюю пластиковую панель машины,8,9,9,7,8,9,9,8,10,10,9,
376,Можно ли использовать металлическую отвёртку для поддевания панели,8,10,9,7,8,10,9,8,10,10,6,
136,Как правильно выровнять новый экран при установке?,7,9,8,6,7,10,9,8,10,10,2,
16,"Что делать, если iPhone вообще не реагирует на подключение зарядки?",7,8,9,8,8,10,9,8,10,10,8,
496,Почему важно аккуратно обращаться с деталями при ремонте Honiture Q6 SE,6,7,8,5,5,9,9,6,10,10,7,
616,Один из наушников вообще не определяется,7,8,9,6,6,10,9,8,10,10,2,
17,Я не хочу разбирать телефон. Как можно починить зарядку без этого?,10,9,10,8,10,10,10,9,10,10,2,
976,"Как проверить, что восстановленное реле работает корректно",6,7,8,5,7,10,9,7,9,10,4,
736,"Как убедиться, что ремонт завершён успешно",7,8,9,4,5,10,9,6,10,10,5,
856,Почему важно выключить принтер перед снятием головки,7,8,9,6,10,10,9,7,10,10,5,
137,Какие инструменты нужны для разборки Honor 9?,10,9,8,9,10,7,10,9,10,10,9,
257,Как правильно снять верхнюю металлическую крышку,7,9,8,6,7,10,9,7,10,10,2,
497,После замены боковых щёток Honiture Q6 SE стал оставлять следы,8,9,9,7,9,10,9,8,10,10,7,
617,"Как отключить наушники от всех устройств, чтобы подключить к новому телефону",10,9,10,6,3,10,8,7,10,10,2,
377,С чего начать замену панели управления,7,8,9,6,7,10,9,7,10,10,8,
18,"Что делать, если после чистки порт всё равно не работает и телефон не заряжается?",8,10,9,7,8,10,9,9,10,10,4,
138,"Что делать, если клей слишком твёрдый и не режется?",7,8,9,7,8,10,9,8,9,10,3,
737,Как отсоединить топливный шланг от карбюратора,7,8,9,6,7,10,9,8,10,10,8,
977,Почему поверхность старого реле часто покрыта коричневыми пятнами,9,10,8,7,9,10,9,8,10,10,7,
857,"Что делать, если картриджи высохли во время чистки",10,9,10,7,8,10,8,7,10,10,9,
258,Что нужно сделать после снятия передней панели,8,9,10,7,9,10,9,9,10,10,4,
498,Сколько времени занимает замена щёток на Honiture Q6 SE,7,8,9,7,8,10,9,8,10,10,6,
378,Как правильно снять заднюю крышку аэрогриля,7,9,9,8,8,10,9,8,10,10,3,
618,Можно ли исправить проблему слабого сигнала Bluetooth,7,9,9,6,8,10,9,8,10,10,3,
738,"Как снять сиденье, чтобы добраться до карбюратора",7,8,9,6,5,10,9,7,10,10,2,
858,Почему стоит чистить контакты даже если их состояние вроде нормальное,8,9,10,7,9,10,9,8,10,10,6,
19,"Важно ли, каким инструментом чистить порт зарядки iPhone?",8,9,10,7,8,10,9,8,10,10,9,
978,"Что будет, если использовать неисправное реле",7,10,9,8,9,10,9,9,10,10,4,
139,Можно ли использовать обычный фен вместо iOpener?,8,9,10,7,8,10,9,7,10,10,6,
259,Как безопасно снять управляющую плату,4,7,8,5,6,10,9,7,10,10,8,
379,Как отсоединить старую плату управления от основной платы аэрогриля,6,8,9,7,8,10,9,7,10,10,4,
619,"Мой левый наушник не заряжается, а правый работает",7,8,9,6,7,10,9,8,10,10,3,
499,"Как проверить, всё ли я сделал правильно после ремонта",7,8,9,6,5,10,8,7,9,10,2,
739,"Что делать, если из шланга течёт бензин",9,10,10,8,9,10,10,9,10,10,7,
859,"Что будет, если вынуть головку при включённом питании",7,9,8,6,5,10,9,7,9,10,4,
979,Можно ли обойтись без осциллографа или тестера,7,9,8,6,6,10,9,7,10,10,3,
140,Почему важно не вставлять инструмент между стеклом и фольгой при снятии крышки?,6,8,7,6,5,10,9,7,10,10,2,
380,Что делать после выкручивания винтов,10,9,8,7,7,10,9,8,10,10,4,
260,Что помогает не перепутать винты при разборке машины,10,9,8,7,8,10,9,8,10,10,4,
20,"Можно ли спасти iPhone, если он перестал заряжаться из-за прошивки, без сервиса?",7,8,9,6,7,10,8,8,10,10,8,
500,"Можно ли менять только одну боковую щётку, а не обе сразу",8,10,9,7,8,10,10,9,10,10,2,
620,Звук идёт только с правого наушника после обновления прошивки,7,8,8,6,6,10,9,8,10,10,5,
740,После снятия сиденья я не вижу нужные детали — что дальше,4,7,6,6,5,10,8,7,9,10,2,
980,Можно ли просто переставить новый термистор без корпуса,4,7,6,5,5,10,8,6,9,10,2,
860,Как очистить контакты внутри принтера,7,8,9,7,8,10,9,8,9,10,4,
21,Как отличить неисправный кабель от неисправного телефона?,10,9,10,8,7,10,10,9,10,10,3,
261,"Что означает, если мультиметр показывает высокое сопротивление при нажатой кнопке",8,10,9,7,9,10,9,9,10,10,3,
501,"Одна из комфорок моей электрической плиты не нагревается, хотя остальные работают нормально",10,10,10,9,10,10,8,9,10,10,4,
381,Сколько винтов удерживает панель управления,4,7,6,6,7,10,8,7,9,10,7,
141,"Сколько винтов нужно открутить, чтобы снять щиток материнской платы?",7,8,9,6,5,10,9,7,10,10,2,
621,Почему звук из правого наушника запаздывает,7,8,9,6,6,10,9,8,10,10,3,
741,Как безопасно отключить подачу топлива перед снятием карбюратора,6,8,9,6,5,10,9,8,10,10,4,
981,"Что означает, если термистор греется слишком быстро и отключает за 10–20 секунд",8,9,9,7,8,10,9,8,10,10,4,
861,Какие модели поддерживают съёмную печатающую головку,1,2,3,1,1,10,4,1,6,3,2,
22,"Что, если телефон начал заряжаться только при определённом положении кабеля?",9,10,8,7,8,10,9,8,10,10,3,
142,"Как понять, что клей для крышки или дисплея работает хорошо?",9,10,8,7,8,10,9,8,10,10,5,
502,"Что делать, если тряпка не вставляется обратно после ремонта",7,8,8,6,6,10,9,7,9,10,2,
262,Как получить доступ к блоку управления,7,8,9,6,7,10,9,8,10,10,8,
382,Почему важно держать за боковые защёлки при снятии кабеля,7,8,9,6,5,10,9,7,10,10,3,
622,Где находится настройка баланса звука на iPhone,10,9,8,7,10,10,10,10,10,6,10,
742,Можно ли работать без перчаток при разборке карбюратора,10,9,10,10,10,10,10,8,7,10,10,
982,Если диск не помещается в старое реле,7,8,8,6,7,10,9,8,9,10,2,
862,Как вынуть печатающую головку из принтера HP,6,7,8,5,6,10,7,6,9,10,7,
23,Можно ли чистить порт металлическим предметом?,10,9,10,8,10,10,10,9,10,10,7,
143,Можно ли одновременно с экраном поменять батарею?,8,9,9,7,8,10,9,8,10,10,6,
263,"Можно ли проверять кнопки, не снимая плату",7,9,8,6,7,10,9,8,9,10,5,
383,Как установить заднюю крышку обратно,7,9,10,6,8,10,10,8,10,10,3,
503,"Почему конфорка электрической плиты работает с перебоями — то нагревается, то нет",8,10,9,8,9,10,9,9,10,10,6,
623,"Как понять, что проблема в балансе звука, а не в наушнике",7,8,8,6,7,10,9,8,10,10,5,
743,Зачем использовать два инструмента при снятии карбюратора,7,8,9,6,7,10,9,8,10,10,7,
863,"Что делать, если из головки выходит много чернил в воду",7,8,9,7,8,10,9,8,9,10,6,
983,Как долго должен работать исправный термистор перед отключением,8,9,10,7,8,10,9,9,10,10,3,
24,"Что делать, если зарядка прерывается сама по себе?",8,10,9,7,9,10,9,9,10,10,4,
144,Что делать со старым экраном и батареей после замены?,4,7,6,5,3,10,8,6,9,8,2,
264,Как проверить кнопки мультиметром,7,8,9,4,3,10,9,6,10,10,8,
384,Что нужно сделать после подсоединения нового модуля,7,8,9,6,6,10,9,8,10,10,3,
504,"Все комфорки на моей электрической плите перестали греться, что мне делать",8,9,10,7,8,10,9,9,10,10,4,
624,Звук в одном ухе постоянно прерывается,7,8,9,6,7,10,9,8,10,10,3,
744,Как отсоединить воздушный фильтр от карбюратора,7,8,9,6,6,10,9,7,10,10,4,
864,Какие меры предосторожности нужны при чистке спиртом,8,9,9,7,9,7,10,8,10,10,3,
984,Какую температуру должен держать термистор,7,9,8,7,7,10,9,8,10,10,6,
25,"Мой iPhone включается, но не набирает заряд — стоит на 1%. Что делать?",8,7,8,7,7,10,9,8,9,10,9,
265,Как безопасно отсоединить панель управления,8,9,10,7,8,10,9,8,10,10,7,
145,Как долго длится полный ремонт экрана Honor 9?,10,9,10,8,10,10,9,9,10,10,7,
385,Можно ли перепутать разъём при подключении,7,8,8,6,7,10,9,8,10,10,3,
505,"Моя электрическая плита искрит, когда я вставляю конфорку",8,9,10,7,6,10,9,8,10,10,3,
625,"Наушники подключены, но звук всё равно идёт только с одного",8,9,10,7,8,10,9,9,10,10,4,
745,"Я снял карбюратор, но тросик газа мешает — что делать",7,9,9,6,6,10,8,8,10,10,4,
865,Почему рекомендуется менять воду во время чистки,1,4,3,2,2,10,6,2,8,7,2,
985,Зачем использовать QP2‑4R7 для замены,4,7,6,5,5,10,8,6,9,10,2,
26,"Почему мой iPhone вообще не видит кабель, хотя раньше работал нормально?",7,6,8,7,7,10,8,8,9,10,8,
146,"Как обращаться с экраном, чтобы не повредить шлейф?",7,9,8,6,7,10,9,8,10,10,7,
386,Как подключить новую плату управления,4,7,8,6,7,10,9,7,9,10,5,
266,Как избежать повреждения платы от статического электричества,10,9,8,7,9,10,9,8,10,10,2,
506,"Как безопасно проверить, почему не работает конфорка",9,10,8,7,8,10,9,8,10,10,6,
626,Где найти баланс звука на Android,7,8,9,5,6,10,9,7,8,6,1,
866,Можно ли ускорить процесс сушки,7,9,8,6,5,10,9,7,10,10,2,
746,Как открутить карбюратор от двигателя,4,6,7,5,5,10,8,7,9,10,3,
986,Можно ли купить оригинальное реле BQP2‑4.7,7,8,9,6,8,10,9,7,10,10,8,
27,Может ли неисправный адаптер вызывать проблемы с зарядкой?,3,4,3,6,3,10,8,6,9,10,2,
147,"Что делать, если после сборки экран немного выступает?",8,9,10,7,6,10,9,8,10,10,3,
267,Как удалить старый переключатель с платы,7,9,9,7,8,10,9,8,10,10,6,
507,"Почему конфорка нагревается слабо, даже при максимальной мощности",10,9,8,7,9,10,9,8,10,10,4,
387,Для чего нужны пластиковые фиксаторы задней крышки,7,9,8,6,7,10,9,8,10,10,5,
627,После чистки кейса наушники перестали определяться,8,9,10,8,9,10,9,9,10,10,3,
747,Как обращаться с иглой дросселя при снятии,8,9,9,7,8,10,9,8,10,10,6,
867,Как долго держать головку в воде,7,8,8,7,7,10,8,7,9,10,2,
28,Телефон перестаёт заряжаться после пары минут. Это что значит?,7,8,9,6,7,10,10,8,10,10,3,
987,Почему важно проверять реле при отказе компрессора,7,8,9,6,7,10,8,7,9,10,4,
148,"Можно ли вскрыть Switch, не снимая контроллеры Joy‑Con?",8,9,10,7,7,10,9,8,10,10,3,
268,Зачем обводить переключатели маркером на обратной стороне платы,7,9,8,6,9,10,9,7,10,10,2,
388,"Как убедиться, что панель установлена ровно",6,8,9,7,8,10,9,8,10,10,2,
508,Я вижу сажу и копоть внутри розетки конфорки,8,9,10,7,8,10,9,8,10,10,2,
628,Можно ли исправить сломанный наушник самостоятельно,7,8,9,6,7,10,8,7,10,10,8,
748,Что за второй шланг подключён к карбюратору,7,8,8,6,6,10,8,7,9,10,2,
868,Нужно ли сушить печатающую головку после очистки,7,8,9,2,6,10,9,7,8,5,1,
988,Как избежать повторного перегрева нового реле,7,8,9,7,8,10,9,8,10,10,4,
29,Стоит ли использовать неоригинальные кабели?,8,9,10,7,8,10,10,8,10,10,2,
149,Можно ли проверить работу телефона до заклейки крышки?,7,8,8,7,7,10,8,7,9,10,4,
269,Как добраться до переключателей на нижних платах,7,6,8,6,8,10,8,7,9,10,9,
389,Когда можно подключать прибор обратно после ремонта,10,9,10,8,10,10,10,9,10,10,4,
509,Как снять электрическую конфорку с моей плиты,8,9,9,7,8,10,9,8,10,10,3,
629,Почему наушники не синхронизированы между собой,7,9,8,7,7,10,9,8,9,10,3,
749,Как извлечь поплавковый клапан и ось,6,9,8,7,7,10,9,8,10,10,3,
989,Что делать с неисправным диском из старого реле,4,7,8,6,6,10,9,7,9,10,3,
869,Можно ли использовать водопроводную воду вместо дистиллированной,10,4,8,2,6,9,7,3,8,5,10,
30,"После перезагрузки логотип Apple появился, но зарядка всё ещё не идёт. Почему?",10,9,8,7,8,10,9,8,10,10,4,
150,"Моя консоль Nintendo Switch совсем не держит заряд, что делать, если я не понимаю, как её чинить?",10,9,10,8,10,10,9,9,10,10,8,
270,Как зафиксировать новый переключатель во время пайки,7,6,8,6,7,10,9,7,10,10,7,
510,"Что делать, если контакты конфорки почернели",8,10,9,7,8,10,9,8,10,10,3,
750,Почему нужно снимать поплавковый клапан при разборке карбюратора,7,8,8,6,6,10,9,7,9,10,5,
390,"Как проверить, что замена прошла успешно",7,9,8,6,5,10,9,8,9,9,4,
630,"Наушники подключаются, но звук идёт с телефона",7,8,8,7,7,10,9,8,10,10,4,
870,Когда можно устанавливать головку обратно,7,8,9,6,7,10,9,8,10,10,5,
990,"Что делать, если после ремонта морозильник не включается",7,9,8,7,8,10,9,8,10,10,3,
31,"Нужно ли менять аккумулятор, если iPhone не заряжается?",8,10,9,9,9,10,9,10,10,10,9,
151,Почему лучше всего использовать оригинальный клей или пред‑нарезанные полоски?,7,9,8,6,7,10,9,8,10,10,2,
271,Как определить правильное положение кнопки перед окончательной пайкой,7,8,9,6,5,10,8,7,10,10,3,
391,"Почему важно, чтобы все защёлки крышки были на месте",8,10,9,7,9,10,9,8,10,10,4,
511,"Может ли изношенная розетка привести к тому, что конфорка не работает",7,9,10,8,6,10,9,8,10,10,2,
631,Как сделать сброс настроек наушников,6,8,7,5,4,10,9,6,10,10,2,
751,"Что делать, чтобы при установке тросик газа работал нормально",8,9,10,7,8,10,9,9,10,10,2,
871,Как правильно установить печатающую головку обратно,7,9,8,7,7,10,9,8,10,10,6,
991,"Как убедиться, что всё работает правильно после ремонта",7,8,9,6,7,10,9,8,10,10,6,
32,"Мой iPhone заряжался, но после обновления перестал. Почему?",10,9,10,8,10,10,10,9,10,10,7,
152,Как удалить контроллеры Joy‑Con перед началом ремонта?,7,8,9,6,7,10,9,7,9,10,5,
272,Как снять верхнюю плату с корпуса,7,8,9,6,7,10,9,8,10,10,3,
392,"Что делать, если после сборки панель всё ещё не светится",8,10,9,7,9,10,9,8,10,10,3,
512,"Как проверить, какая именно часть поломалась — конфорка или розетка",7,9,8,6,6,10,9,7,10,10,2,
632,"Что делать, если после зарядки один наушник не включается",7,8,9,6,7,10,9,8,10,10,3,
872,После установки принтер начал автоматическую чистку — это нормально,10,9,10,8,10,10,10,9,10,10,3,
752,Нужно ли чистить новый карбюратор перед установкой,6,8,7,6,6,10,9,7,9,10,4,
992,Можно ли просто заменить весь блок реле без ремонта,7,9,8,7,8,10,9,8,9,10,3,
33,После чистки порт искрит. Что делать?,8,10,9,7,8,10,9,9,10,10,3,
153,Какими отвёртками нужно откручивать винты на задней крышке?,4,6,5,7,6,10,9,7,8,10,7,
393,Можно ли использовать старую неисправную панель как запасную,7,9,8,6,6,10,9,7,10,10,7,
273,Что нужно учитывать при установке нового переключателя,7,8,9,6,7,10,9,7,9,10,8,
513,"Что делать, если конфорка шатается и плохо сидит в гнезде",10,9,10,7,8,10,9,9,10,10,2,
633,"Почему мои наушники отключаются, когда рядом включён Wi-Fi",8,10,9,7,6,10,9,8,10,10,3,
753,"Как проверить, что всё собрал правильно",7,9,8,6,7,10,9,8,10,10,3,
873,"Как понять, что чистка завершена",7,9,8,7,8,10,9,8,9,10,3,
993,Сколько времени занимает весь процесс ремонта,7,8,9,6,7,10,8,7,9,10,3,
34,"Как понять, грязный ли порт?",7,9,8,6,8,10,9,7,9,10,7,
154,Нужно ли извлекать карту microSD перед вскрытием?,7,8,9,6,5,10,9,7,10,10,6,
274,"Почему стоит менять все кнопки сразу, а не только сломанную",8,10,9,7,9,10,9,8,10,10,8,
394,Почему подсветка панели часто ломается первой,7,9,8,6,7,10,9,8,10,10,2,
514,Почему новая конфорка тоже не работает,8,9,10,7,8,10,9,8,10,10,3,
634,После падения правый наушник стал тише,8,9,10,7,9,10,10,9,10,10,3,
874,Почему после чистки цвета стали смазанными,8,9,10,7,8,10,10,9,10,10,2,
754,Почему нужно проверять натяжение троса газа после установки,10,9,8,7,9,10,9,8,10,10,2,
994,Какие признаки указывают на окончательный выход реле из строя,7,9,8,7,8,10,9,8,9,10,6,
155,"Что делать, если я сорвал один из винтов задней панели?",10,9,10,8,10,10,10,9,10,10,2,
35,Мой iPhone перестал реагировать после зарядки от другой розетки. Это опасно?,8,9,9,8,9,10,9,9,10,10,8,
275,"Что делать, если кнопка не издаёт щелчка",7,8,9,6,7,10,9,8,9,10,3,
395,Почему важно использовать только подходящую панель управления,7,9,8,6,7,10,9,8,10,10,3,
635,Один наушник работает только при открытой крышке кейса,7,9,8,7,8,10,9,8,9,10,2,
515,Почему мультиметр показывает “OL” при проверке нагревателя,7,8,9,6,5,10,9,7,10,10,4,
755,Как установить обратно воздушный фильтр,10,9,8,7,9,10,9,7,10,10,6,
995,Какие инструменты нужны для ремонта,4,6,7,2,3,10,8,3,7,5,1,
875,Какие ошибки могут появиться после чистки,8,9,9,7,8,10,9,9,10,10,7,
156,Какие винты расположены сверху и снизу консоли Switch?,10,9,8,7,9,10,9,8,10,10,8,
36,"Можно ли повредить разъём, если шевелить кабель во время зарядки?",8,9,9,7,8,10,9,8,10,10,3,
276,Что нужно сделать после замены всех переключателей,4,6,7,5,6,10,8,6,9,10,7,
396,Сколько времени занимает этот ремонт,7,9,8,6,7,10,9,8,10,10,3,
756,Чем закрепить карбюратор после установки,10,9,10,8,9,10,10,9,10,10,3,
516,Как очистить контакты на конфорке правильно,8,10,9,7,8,10,9,8,10,10,3,
636,"Что делать, если после обновления приложения звук перестал идти",8,10,9,7,8,10,10,9,10,10,2,
876,Можно ли чистить головку спиртом постоянно,7,9,8,7,8,10,9,8,9,10,6,
37,"Если iPhone заряжается только от одного кабеля, это нормально?",7,8,9,7,8,10,9,8,9,10,5,
996,"Как понять, что ремонт завершился успешно",7,8,8,5,5,10,9,6,10,10,3,
157,Где находятся боковые винты на корпусе Switch?,10,9,8,7,9,10,9,8,10,10,7,
277,Как собрать стиральную машину обратно после ремонта,10,9,8,7,9,10,8,7,10,10,6,
397,Нужно ли разбирать весь аэрогриль для замены панели,7,8,9,6,5,10,9,7,10,10,2,
757,Можно ли использовать старый прокладочный материал между карбюратором и двигателем,7,9,8,7,8,10,9,8,9,10,3,
877,Как предотвратить повторные засоры печатающей головки,8,9,9,7,8,10,9,8,10,10,7,
517,Как протестировать конфорку мультиметром,8,9,10,6,7,10,9,8,10,10,3,
637,Почему звук стал искажённым на одном ухе,7,8,9,7,8,10,9,8,10,10,6,
997,Как часто выходит из строя реле в морозильниках,7,8,8,6,7,10,9,8,9,10,5,
38,"Что делать, если iPhone включается от кабеля, но не заряжается дальше?",8,9,9,7,8,10,9,9,10,10,7,
158,Можно ли откручивать винты обычной Phillips отвёрткой?,7,8,9,6,7,10,9,8,10,10,5,
278,"Как узнать, что ремонт прошёл успешно",6,8,7,4,3,10,9,6,9,10,5,
518,Как извлечь нагревательный элемент на стеклокерамической плите,7,8,9,6,8,10,9,7,10,10,7,
398,Как можно продлить срок службы нового модуля,7,8,9,6,7,10,9,7,10,10,3,
758,Где должна находиться прокладка при установке нового карбюратора,7,8,9,6,7,10,9,8,10,10,5,
638,"Можно ли обновить только один наушник, если второй не работает",7,8,9,7,8,10,9,8,9,10,2,
878,Почему мой принтер расходует много чернил после установки головки,7,8,9,6,7,10,9,8,10,10,8,
159,Почему при открытии крышки нужно приподнять панель снизу?,7,8,9,6,7,10,9,8,10,10,3,
39,"Мой iPhone перестал заряжаться, когда сильно нагрелся. Что это значит?",8,9,8,7,7,10,9,8,9,10,8,
399,Можно ли повредить аэрогриль во время этого ремонта,7,9,8,7,7,10,9,8,10,10,3,
279,"Что делать, если после сборки стиральная машина работает необычно",8,9,9,7,8,10,9,8,10,10,7,
639,Наушники не соединяются после сброса телефона,6,8,7,5,6,10,9,7,9,10,3,
519,"У меня стеклокерамическая панель, как добраться до конфорки",7,9,9,6,6,10,8,7,10,10,5,
759,Чем отличается впускной коллектор от фильтра,10,9,8,7,6,10,9,8,10,10,5,
40,Что если телефон вообще не включается и не заряжается?,7,8,9,6,7,10,9,8,10,10,2,
879,"Что делать, если ошибка не исчезает",8,9,10,7,9,10,9,8,10,10,3,
280,С чего начать замену насоса в стиральной машине Daewoo,8,10,9,7,9,10,9,8,10,10,4,
160,Какой винт держит подставку kickstand?,8,9,10,7,6,10,9,8,10,10,2,
400,Как утилизировать старую электронику после замены панели,1,4,6,2,1,8,5,2,3,5,1,
520,"Как понять, что нагревательный элемент неисправен без мультиметра",8,9,9,7,8,10,9,8,10,10,3,
640,Какой тип батареи подходит для AirTag,10,10,10,10,10,10,10,9,10,10,8,
760,Как подключить топливную линию к новому карбюратору,8,7,9,7,8,10,9,8,10,10,9,
41,Зарядка идёт очень медленно. Почему?,7,8,8,7,7,10,9,8,9,10,3,
880,Как избежать потери половины чернил при установке,7,8,8,6,6,10,9,7,9,10,5,
161,"Что нужно сделать, чтобы снять заднюю панель Switch?",1,2,3,1,1,7,5,1,6,4,1,
281,Где находится насос в Daewoo DWC LDC1412S,6,7,8,5,7,10,9,6,10,10,7,
401,"Мой аэрогриль Chefman RJ38‑V2‑35 перестал выключаться по истечении установленного времени, и я не знаю, как это исправить",7,8,9,6,8,10,10,9,10,10,8,
521,"Почему конфорка работает только, если её повернуть",7,9,8,6,7,10,9,8,10,10,2,
